Amino acid metabolism,map00290,map00300,map00250,map00310,map00350,map00400,map00280,map00260,map00220,map00270,map00340,map00360,map00380,map00330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biosynthesis of other secondary metabolites,map00232,map00966,map00332,map00405,map00944,map00901,map00940,map00950,map00525,map00402,map00999,map00524,map00311,map00945,map00401,map00943,map00960,map00403,map00965,map00231,map00261,map00941,map00254,map00521,map00331,map00404,map01058,map00333,map00942
Carbohydrate metabolism,map00640,map00030,map00053,map00630,map00040,map00620,map00051,map00520,map00010,map00052,map00650,map00562,map00500,map00660,map00020,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chemical structure transformation maps,map01061,map01010,map01064,map01065,map01062,map01060,map01066,map01063,map01070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Energy metabolism,map00720,map00710,map00680,map00920,map00910,map00196,map00195,map00190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Global and overview maps,map01120,map01210,map01230,map01220,map01110,map01200,map01100,map01212,map01130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Glycan biosynthesis and metabolism,map00534,map00515,map00550,map00511,map00563,map00601,map00532,map00603,map00510,map00540,map00514,map00604,map00512,map00533,map00572,map00531,map00571,map00513,0,0,0,0,0,0,0,0,0,0,0
Lipid metabolism,map00592,map00073,map00564,map00565,map00561,map00140,map00062,map00600,map00120,map00591,map01040,map00100,map00072,map00590,map00071,map00121,map00061,0,0,0,0,0,0,0,0,0,0,0,0
Metabolism of cofactors and vitamins,map00830,map00670,map00860,map00790,map00130,map00760,map00750,map00770,map00780,map00740,map00730,map00785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Metabolism of other amino acids,map00472,map00460,map00473,map00471,map00410,map00480,map00440,map00450,map00430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Metabolism of terpenoids and polyketides,map00908,map00522,map00906,map01056,map00909,map01053,map00903,map01051,map00523,map01057,map00981,map00902,map01054,map01055,map00900,map00904,map00905,map00281,map01059,map01052,map00253,0,0,0,0,0,0,0,0
Nucleotide metabolism,map00240,map00230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Xenobiotics biodegradation and metabolism,map00626,map00625,map00643,map00642,map00930,map00623,map00791,map00622,map00627,map00365,map00983,map00982,map00362,map00361,map00633,map00364,map00621,map00984,map00624,map00980,map00363,0,0,0,0,0,0,0,0
